id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
4643637236074936	,KijcDpumQ,#1078万人报名高考#又创新高。。。1078万！！！ ,,,,,,2021-06-02T13:47:34,HUAWEI Mate 20 Pro,732,116,12,1078万人报名高考,,2021-06-02 13:47:34,False,0,True
4643623696078260	,KiiQNpves,回到东北最开心的，就是吃饭！！！哈哈哈哈哈哈哈哈哈哈哈哈 ,,https://wx4.sinaimg.cn/large/001Ptb3yly1gr3tx9n7ytj62tc240e8302.jpg,,,,2021-06-02T12:53:46,HUAWEI Mate 20 Pro,1223,326,14,,,2021-06-02 12:53:46,False,0,True
4643482436632749	,KifaXrPtP,纵然前方道路有艰难险阻，我也必将砥砺前行！！！加油！晚安！ ,,,,,,2021-06-02T03:32:27,HUAWEI Mate 20 Pro,903,108,20,,,2021-06-02 03:32:27,False,0,True
4643365796715420	,Kic8PsaZe,"#高考#分不高也能报得好大学，这一所不能不提，错失211也不受影响，好专业一个也不落！#高考志愿填报# 
张雪峰老师的微博视频
 ",,,"https://f.video.weibocdn.com/0KVo0F8xlx07HC6KQrUc0104120002480E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1778084618&ssig=XtTmpPd6Ji&KID=unistore,video",,,2021-06-01T19:48:58,微博视频号,113,11,17,"高考,高考志愿填报",,2021-06-01 19:48:58,False,0,True
4643354627803423	,KibQOwK1F,"#高考##高考志愿填报#这类师范学校，在当地的认可程度非常高，必须“窝里横”！ 
张雪峰老师的微博视频
 ",,,"https://f.video.weibocdn.com/0KVo0F8xlx07HC6KQrUc0104120002480E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1778084618&ssig=XtTmpPd6Ji&KID=unistore,video",,,2021-06-01T19:04:35,微博视频号,110,12,15,"高考,高考志愿填报",,2021-06-01 19:04:35,False,0,True
4643233562625400	,Ki8Hyb0Za,只要不下车就能回家！以前小时候，每年六一儿童节，父母都会带我去齐市的龙沙公园玩，当时对我来讲，是一个很隆重的事情，去市里了，去公园玩了。。。。。感叹这么多年过去中国发展的这么好！🇨🇳 ,,https://wx2.sinaimg.cn/large/001Ptb3yly1gr2l29wv6kj62tc2404qq02.jpg,,,,2021-06-01T11:03:30,HUAWEI Mate 20 Pro,510,63,5,,,2021-06-01 11:03:30,False,0,True
4643052771351425	,Ki3ZX5Fzb,"恭喜@畿米语录 等10名用户获得【签名版新书《考研通关攻略》】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：
微博抽奖平台",,,,,,2021-05-31T23:05:07,微博抽奖平台,16,2,2,,"畿米语录,微博抽奖平台",2021-05-31 23:05:07,False,0,False,1676679984,张雪峰老师,4640761277320023	,Kh6nZuIgT,"#蜕变的力量# 
明天见面会，工作人员非要我表演才艺，大家别（敬）太（请）期（关）待（注）
没法来现场的同学 
明天14点记得来看直播
 ！
转这条抽10个同学送我的签名版新书《考研通关攻略》 
张雪峰老师的微博视频
  
抽奖详情
 ",,,"https://f.video.weibocdn.com/03QFXOHXlx07MW1ogPK001041201H9K30E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1778084618&ssig=9UPwIrTkcS&KID=unistore,video",,,2021-05-25T15:19:32,微博视频号,304,71,86,蜕变的力量,,2021-05-25 15:19:32
4642719182096019	,KhVjU8NgL,#是高考难还是考研难#这个问题。。。。没有答案，高考考哪？考研考哪？？？？ ,,,,,,2021-05-31T00:59:33,HUAWEI Mate 20 Pro,590,148,4,是高考难还是考研难,,2021-05-31 00:59:33,False,0,True
4642671732199543	,KhU5n9ecv,"#高考##高考报志愿#这所学校在我的讲座中出现的次数太多了，再看一遍，你就知道为什么了。。 
张雪峰老师的微博视频
 ",,,"https://f.video.weibocdn.com/0KVo0F8xlx07HC6KQrUc0104120002480E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1778084618&ssig=XtTmpPd6Ji&KID=unistore,video",,,2021-05-30T21:51:00,微博视频号,96,23,8,"高考,高考报志愿",,2021-05-30 21:51:00,False,0,True
4642612600902415	,KhSy03ML5,"“凭我的地理位置和王牌专业，你不愿意报我？”#高考##高考志愿填报# 
张雪峰老师的微博视频
 ",,,"https://f.video.weibocdn.com/0KVo0F8xlx07HC6KQrUc0104120002480E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1778084633&ssig=aAPlrj9uZO&KID=unistore,video",,,2021-05-30T17:56:02,微博视频号,93,19,10,"高考,高考志愿填报",,2021-05-30 17:56:02,False,0,True
